date,store_number,store_name,city,category_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
2023-07-19,3712,MONTE SPIRITS,MONTEZUMA,SPECIAL ORDER ITEMS,903707,SOOH WISERS DELUXE,6,1750,14.99,22.49,-12,-269.88,-21.0,-5.54
2022-12-08,2624,HY-VEE #2 / DUBUQUE,DUBUQUE,AMERICAN FLAVORED VODKA,77683,SMIRNOFF KISSED CARAMEL,12,750,8.25,12.38,-24,-297.12,-18.0,-4.75
2023-07-12,4346,ROY'S FOODLAND,SHELLSBURG,CANADIAN WHISKIES,10808,CROWN ROYAL REGAL APPLE,12,1000,20.49,30.74,-12,-368.88,-12.0,-3.17
2022-10-24,5916,ANOTHER ROUND / DEWITT,DEWITT,STRAIGHT BOURBON WHISKIES,19067,JIM BEAM,12,1000,13.0,19.5,-12,-234.0,-12.0,-3.17
2023-06-07,3488,BENDER'S FOODS,BELLEVUE,STRAIGHT BOURBON WHISKIES,19067,JIM BEAM,12,1000,13.0,19.5,-12,-234.0,-12.0,-3.17
2022-12-07,5873,WEST D LIQUORS,WEST DES MOINES,IRISH WHISKIES,15628,JAMESON,6,1750,35.48,53.22,-6,-319.32,-10.5,-2.77
2024-05-22,6267,POLK CITY LIQUOR / POLK CITY,POLK CITY,IMPORTED VODKAS,34458,KETEL ONE,6,1750,20.99,31.49,-6,-188.94,-10.5,-2.77
2024-08-22,2502,HY-VEE WINE AND SPIRITS (1022) / ANKENY,ANKENY,IMPORTED VODKAS,34458,KETEL ONE,6,1750,20.99,31.49,-6,-188.94,-10.5,-2.77
2024-11-07,4023,WAL-MART 1389 / BOONE,BOONE,AMERICAN VODKAS,36308,HAWKEYE VODKA,6,1750,7.5,11.25,-6,-67.5,-10.5,-2.77
2022-11-02,2544,HY-VEE FOOD STORE / MARSHALLTOWN,MARSHALLTOWN,WHITE RUM,43120,BACARDI SUPERIOR PET,6,1750,15.5,23.25,-6,-139.5,-10.5,-2.77
2024-08-09,2515,HY-VEE FOOD STORE #1 (1410) / MASON CITY,MASON CITY,IMPORTED SCHNAPPS,69658,DR MCGILLICUDDYS MENTHOLMINT,6,1750,15.0,22.5,-6,-135.0,-10.5,-2.77
2023-11-21,4492,CASEY'S GENERAL STORE #2773 / CEDAR RAPIDS,CEDAR RAPIDS,CANADIAN WHISKIES,11774,BLACK VELVET,24,375,3.25,4.88,-24,-117.12,-9.0,-2.37
2024-01-10,2591,HY-VEE WINE AND SPIRITS / ATLANTIC,ATLANTIC,FLAVORED RUM,44557,CRUZAN STRAWBERRY,12,750,7.0,10.5,-12,-126.0,-9.0,-2.37
2023-05-15,2572,HY-VEE FOOD STORE / CEDAR FALLS,CEDAR FALLS,AMERICAN FLAVORED VODKA,76501,THE ORIGINAL PICKLE SHOT DILL PICKLE VODKA,12,750,8.34,12.51,-12,-150.12,-9.0,-2.37
2023-07-07,2666,HY-VEE FOOD STORE #2 / STATE ANKENY,ANKENY,AMERICAN SCHNAPPS,81126,99 PEPPERMINT,12,750,7.5,11.25,-12,-135.0,-9.0,-2.37
2023-07-07,2666,HY-VEE FOOD STORE #2 / STATE ANKENY,ANKENY,100% AGAVE TEQUILA,88540,HORNITOS LIME SHOT,12,750,15.0,22.5,-12,-270.0,-9.0,-2.37
2023-03-17,4988,HAPPY'S WINE & SPIRITS,CEDAR FALLS,STRAIGHT BOURBON WHISKIES,19227,KNOB CREEK,6,1000,26.0,39.0,-6,-234.0,-6.0,-1.58
2023-05-05,5678,SAVE MORE / DAVENPORT,DAVENPORT,AMERICAN BRANDIES,53213,PAUL MASSON GRANDE AMBER BRANDY VS,24,200,1.96,2.94,-24,-70.56,-4.8,-1.26
