data_referencia;cod_ibge;txt_municipio;txt_uf;num_ano_financiamento;qtd_uh_financiadas;vlr_financiamento;vlr_subsidio
01/11/2024;110.001;Alta Floresta D'Oeste ;RO;2009;2;106.000;28.406
01/11/2024;110.001;Alta Floresta D'Oeste ;RO;2010;11;598.983,79;129.620
01/11/2024;110.001;Alta Floresta D'Oeste ;RO;2011;9;450.560,20;35.436
01/11/2024;110.001;Alta Floresta D'Oeste ;RO;2012;26;1.711.299,54;532.644,40
01/11/2024;110.001;Alta Floresta D'Oeste ;RO;2013;33;2.331.474,54;690.322,69
01/11/2024;110.001;Alta Floresta D'Oeste ;RO;2014;42;3.001.273,46;924.962,69
01/11/2024;110.001;Alta Floresta D'Oeste ;RO;2015;43;3.017.464,23;816.503,31
01/11/2024;110.001;Alta Floresta D'Oeste ;RO;2016;25;1.862.638,58;302.075,69
01/11/2024;110.001;Alta Floresta D'Oeste ;RO;2017;15;1.156.655;243.058,31
01/11/2024;110.001;Alta Floresta D'Oeste ;RO;2018;17;1.598.038,89;271.553,76
01/11/2024;110.001;Alta Floresta D'Oeste ;RO;2019;9;778.097,62;139.632,14
01/11/2024;110.001;Alta Floresta D'Oeste ;RO;2020;19;1.859.866,67;384.218,22
01/11/2024;110.001;Alta Floresta D'Oeste ;RO;2021;2;199.983,54;73.505,18
01/11/2024;110.001;Alta Floresta D'Oeste ;RO;2022;8;766.674,89;136.845,29
01/11/2024;110.001;Alta Floresta D'Oeste ;RO;2023;24;3.065.153,78;470.206,34
01/11/2024;110.001;Alta Floresta D'Oeste ;RO;2024;27;4.314.909,95;335.437,25
01/11/2024;110.002;Ariquemes ;RO;2009;64;2.947.428,83;769.513,30
01/11/2024;110.002;Ariquemes ;RO;2010;94;5.414.181,69;1.387.931
01/11/2024;110.002;Ariquemes ;RO;2011;115;7.737.559,30;536.683,60
01/11/2024;110.002;Ariquemes ;RO;2012;108;7.850.479,02;1.832.872,95
01/11/2024;110.002;Ariquemes ;RO;2013;173;14.427.670,23;3.374.067,47
01/11/2024;110.002;Ariquemes ;RO;2014;174;15.157.080,21;3.876.569,07
01/11/2024;110.002;Ariquemes ;RO;2015;233;21.182.376,89;5.448.985,01
01/11/2024;110.002;Ariquemes ;RO;2016;191;17.645.363,46;3.681.991,47
01/11/2024;110.002;Ariquemes ;RO;2017;218;21.139.675,06;4.530.964,07
01/11/2024;110.002;Ariquemes ;RO;2018;191;18.757.707,11;4.695.332,10
01/11/2024;110.002;Ariquemes ;RO;2019;134;14.073.010,20;2.759.372,32
01/11/2024;110.002;Ariquemes ;RO;2020;148;15.439.420,95;3.384.975,17
01/11/2024;110.002;Ariquemes ;RO;2021;90;9.682.017,12;2.228.634,46
01/11/2024;110.002;Ariquemes ;RO;2022;109;14.021.589,25;1.495.133,05
01/11/2024;110.002;Ariquemes ;RO;2023;133;21.307.837,30;2.088.908,20
01/11/2024;110.002;Ariquemes ;RO;2024;170;28.454.146,73;2.897.440,81
01/11/2024;110.003;Cabixi ;RO;2024;1;152.000;9.188,55
01/11/2024;110.004;Cacoal ;RO;2009;115;5.341.445,32;1.510.222,85
01/11/2024;110.004;Cacoal ;RO;2010;197;10.124.904,52;3.190.662
